absoluto 	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
actual 	adjective	present, current	no sentence available	no sentence available
adecuado 	adjective	suitable, appropriate	no sentence available	no sentence available
alemán 	adjective & noun	German	no sentence available	no sentence available
amplio 	adjective	broad, wide (of a street, etc.), spacious (of a room, etc.) 	una amplia gama de	a broad range of
azul 	adjective & masculine noun	blue	no sentence available	no sentence available
cercano 	adjective	near, close	no sentence available	no sentence available
cerrado 	adjective	closed, shut	no sentence available	no sentence available
civil 	adjective	civil	un policía de civil	a plainclothes policeman
concreto 	adjective	concrete, actual	en concreto	specifically
conocido 	adjective	familiar	no sentence available	no sentence available
corriente 	feminine noun	current 	corriente alterna	alternating current
corto 	adjective	short (in length or duration)	no sentence available	no sentence available
cuánto 	adverb	as much as 	come cuanto puedas	eat as much as you can
cuarto 	adjective & noun	fourth 	la cuarta (persona)	the fourth (person)
dado 	adjective	given	no sentence available	no sentence available
debido	adjective	right, proper, due	no sentence available	no sentence available
definitivo 	adjective	definitive, conclusive	no sentence available	no sentence available
determinado 	adjective	certain, particular	no sentence available	no sentence available
diario 	adjective	daily, everyday 	la vida diaria	everyday life
directo 	adjective	direct, straight, immediate	no sentence available	no sentence available
dispuesto 	adjective	ready, prepared, disposed	no sentence available	no sentence available
diverso 	adjective	diverse, various 	opiniones diversas	diverse opinions
duro 	adverb	hard 	trabajé tan duro	I worked so hard
enfermo 	adjective	sick, ill	no sentence available	no sentence available
entero 	adjective	entire, whole	no sentence available	no sentence available
exacto 	adjective	accurate, precise, exact	no sentence available	no sentence available
extraño 	adjective	strange, odd	no sentence available	no sentence available
extraordinario 	adjective	extraordinary	no sentence available	no sentence available
fácil 	adjective	easy	es fácil que no pase	it probably won't happen
familiar 	adjective	familiar	no sentence available	no sentence available
famoso 	adjective	famous	no sentence available	no sentence available
feliz 	adjective	happy	no sentence available	no sentence available
físico 	adjective	physical	no sentence available	no sentence available
francés 	adjective	French	no sentence available	no sentence available
frío 	adjective	cold	me deja frío	it leaves me cold
futuro 	adjective	future	no sentence available	no sentence available
grave 	adjective	grave, important	no sentence available	no sentence available
histórico 	adjective	historical	no sentence available	no sentence available
imposible 	adjective	impossible	no sentence available	no sentence available
inglés 	adjective	English	no sentence available	no sentence available
inmediato 	adjective	immediate	no sentence available	no sentence available
interesante 	adjective	interesting	no sentence available	no sentence available
interior 	adjective	interior, inside, inner 	parte interior	inside
interno 	adjective	internal 	la política interna	domestic policy
italiano 	adjective & noun	Italian	no sentence available	no sentence available
justo 	adverb	justly	justo en ese momento	right at that moment
lleno 	adjective	full, filled	no sentence available	no sentence available
maestro 	adjective	masterly, skilled	un elefante maestro	a trained elephant
mas 	adverb	more 	¿hay algo más grande?	is there anything bigger?
material 	masculine noun	material 	material de construcción	building material
médico 	adjective	medical 	una receta médica	a doctor's prescription
militar 	intransitive verb	to serve (in the military)	no sentence available	no sentence available
mínimo 	adjective	minimum 	salario mínimo	minimum wage
moderno 	adjective	modern, up-to-date	no sentence available	no sentence available
muerto 	adjective	dead 	caer muerto	to die, to drop dead
nacional 	adjective	national	no sentence available	no sentence available
normal 	adjective	normal, usual	no sentence available	no sentence available
oscuro 	adjective	dark	no sentence available	no sentence available
parecido 	masculine noun	resemblance, similarity 	tener un parecido con	to bear a resemblance to
particular 	adjective	particular, specific 	en particular	in particular
peor 	adverb	worse 	se llevan peor que antes	they get along worse than before
perdido 	adjective	lost 	objetos perdidos	lost and found
perfecto 	adjective	perfect	no sentence available	no sentence available
personal 	adjective	personal	no sentence available	no sentence available
plano 	masculine noun	map, plan	en un plano personal	on a personal level
pleno 	adjective	full, complete 	en pleno uso de sus facultades	in full command of his faculties
popular 	adjective	popular	no sentence available	no sentence available
preciso 	adjective	precise	en ese preciso instante	at that very instant
presente 	adjective	present, in attendance	del presente mes/año	of the current month/year
privado 	adjective	private 	en privado	in private
profesional 	adjective & masculine or feminine noun	professional	no sentence available	no sentence available
puro 	adverb	sheer, much 	de puro terco	out of sheer stubbornness
rápido 	adverb	quickly, fast 	¡manejas tan rápido!	you drive so fast!
raro 	adjective	odd, strange, peculiar	no sentence available	no sentence available
religioso 	adjective	religious	no sentence available	no sentence available
responsable 	masculine or feminine noun	person responsible 	los responsables del proyecto	those in charge of the project
rico 	adjective	rich, wealthy	no sentence available	no sentence available
rojo 	adjective	red	no sentence available	no sentence available
sencillo 	adjective	simple, easy	no sentence available	no sentence available
serio 	adjective	serious, earnest	no sentence available	no sentence available
simple 	adjective	plain, simple, easy	por simple vanidad	out of pure vanity
suficiente 	adjective	enough, sufficient 	tener suficiente	to have enough
superior 	adjective	superior	nivel superior	upper level
supuesto 	adjective	supposed, alleged 	los supuestos expertos	the supposed experts
total 	adverb	in the end, so 	total, que no fui	in short, I didn't go
unido 	adjective	joined, united	no sentence available	no sentence available
verde 	adjective	green (in color)	no sentence available	no sentence available
abajo 	adverb	down 	póngalo más abajo	put it lower (down)
adelante 	adverb	forward, ahead, in front 	dar un paso adelante	to take a step forward
alrededor 	adverb	around 	lo que sucede alrededor	the things happening around us/you (etc.)
apenas 	adverb	hardly, scarcely	no sentence available	no sentence available
arriba 	adverb	up, upwards 	póngalo más arriba	put it higher (up)
aun 	adverb	even 	ni aun en coche llegaría a tiempo	I wouldn't arrive on time even if I drove
completamente 	adverb	completely, totally	no sentence available	no sentence available
debajo 	adverb	underneath, below, on the bottom	no sentence available	no sentence available
delante 	adverb	ahead, in front	no sentence available	no sentence available
detrás 	adverb	behind 	caminábamos detrás	we walked along behind
directamente 	adverb	straight, directly	no sentence available	no sentence available
especialmente 	adverb	especially, particularly	no sentence available	no sentence available
exactamente 	adverb	exactly	no sentence available	no sentence available
inmediatamente 	adverb	immediately	no sentence available	no sentence available
jamás 	adverb	never 	jamás vi tal cosa	I've never seen such a thing
junto 	adjective	joined, united	colgaron los dos retratos juntos	they hung the two paintings side by side
precisamente 	adverb	precisely, exactly	no sentence available	no sentence available
probablemente 	adverb	probably	no sentence available	no sentence available
recién 	adverb	newly, recently 	recién nacido	newborn
salvo 	adjective	unharmed, sound 	sano y salvo	safe and sound
seguramente 	adverb	for sure, surely	no sentence available	no sentence available
simplemente 	adverb	simply, merely, just	no sentence available	no sentence available
siquiera 	adverb	at least 	dame siquiera un poquito	at least give me a little bit
artista 	masculine or feminine noun	artist	no sentence available	no sentence available
joven 	adjective	young	no sentence available	no sentence available
modelo 	adjective	model 	una casa modelo	a model home
actitud 	feminine noun	attitude	no sentence available	no sentence available
altura 	feminine noun	height 	una altura de dos metros	a height of two meters
autoridad 	feminine noun	authority	no sentence available	no sentence available
ayuda 	feminine noun	help, assistance	no sentence available	no sentence available
boca 	feminine noun	mouth	hacerle el boca a boca a alguien	to give someone mouth-to-mouth
calidad 	feminine noun	quality, grade	no sentence available	no sentence available
capacidad 	feminine noun	capacity	no sentence available	no sentence available
carne 	feminine noun	meat 	carne molida	ground beef
carta 	feminine noun	letter 	carta de amor	love letter
causa 	feminine noun	cause, reason, motive 	a causa de	because of
